System,Resolution,Count,Group
ATTIC,Invalid,226,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,,1854,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Not A Problem,377,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Incomplete,206,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Won't Fix,378,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Duplicate,371,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Cannot Reproduce,266,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Later,17,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ATTIC,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Fixed,11789,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Invalid,245,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,,2166,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Not A Problem,392,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Incomplete,207,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Won't Fix,405,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Duplicate,422,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Cannot Reproduce,269,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Later,20,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Fixed,11835,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Invalid,247,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,,2321,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Not A Problem,392,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Incomplete,207,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Won't Fix,407,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Duplicate,423,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Cannot Reproduce,269,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Later,20,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Fixed,12205,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Invalid,271,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,,2348,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Not A Problem,392,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Incomplete,214,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Won't Fix,424,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Duplicate,427,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Cannot Reproduce,271,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Later,22,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Fixed,12656,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Invalid,356,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,,3293,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Not A Problem,394,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Incomplete,240,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Won't Fix,458,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Duplicate,449,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Cannot Reproduce,311,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Later,23,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Fixed,16694,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Invalid,600,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,,3934,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Not A Problem,465,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Incomplete,310,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Won't Fix,710,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Duplicate,548,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Cannot Reproduce,394,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Later,29,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Fixed,17974,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Invalid,625,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,,4176,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Not A Problem,473,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Incomplete,311,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Won't Fix,758,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Duplicate,567,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Cannot Reproduce,399,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Later,30,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Fixed,18758,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
