System,Type,Count,Group
APLO,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,New Feature,960,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Task,984,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Wish,82,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Documentation,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Story,13,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Bug,8235,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Test,93,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Improvement,2945,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Question,20,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,New Feature,967,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Task,1000,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Wish,82,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Documentation,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APOLLO,Story,13,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Bug,8906,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Test,97,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Improvement,3241,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,New Feature,1062,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Task,1044,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Wish,83,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Brainstorming,3,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ARIES,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Bug,8938,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Test,97,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Improvement,3245,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ASYNCWEB,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
