Issue key,Issue id,Project key,Project name,Project type,Status,Issue Type,Created,Resolved
P4DPIII-99,649135,P4DPIII,,software,To Do,Test,18/11/2019 11:24,
P4DPIII-98,649132,P4DPIII,,software,To Do,Test,18/11/2019 11:16,
P4DPIII-97,649131,P4DPIII,,software,To Do,Test,18/11/2019 11:15,
P4DPIII-96,649124,P4DPIII,,software,To Do,Test,18/11/2019 11:08,
P4DPIII-95,649123,P4DPIII,,software,To Do,Test,18/11/2019 11:03,
P4DPIII-94,649122,P4DPIII,,software,Done,Bug,18/11/2019 11:02,06/12/2019 09:12
P4DPIII-93,649121,P4DPIII,,software,To Do,Test,18/11/2019 11:01,
P4DPIII-92,649120,P4DPIII,,software,Done,Bug,18/11/2019 10:59,19/11/2019 14:02
P4DPIII-91,648819,P4DPIII,,software,Done,Bug,15/11/2019 09:51,18/11/2019 09:09
P4DPIII-90,648522,P4DPIII,,software,Done,Bug,14/11/2019 09:04,18/11/2019 09:08
P4DPIII-89,648187,P4DPIII,,software,To Do,Test,13/11/2019 08:30,
P4DPIII-88,648184,P4DPIII,,software,To Do,Test,13/11/2019 08:15,
P4DPIII-87,648150,P4DPIII,,software,To Do,Bug,12/11/2019 16:59,
P4DPIII-86,648123,P4DPIII,,software,Done,Bug,12/11/2019 15:14,28/11/2019 17:57
P4DPIII-85,647862,P4DPIII,,software,Done,Bug,08/11/2019 13:40,12/11/2019 13:00
P4DPIII-84,647810,P4DPIII,,software,Done,Bug,08/11/2019 11:21,13/11/2019 14:25
P4DPIII-83,647796,P4DPIII,,software,Done,Task,08/11/2019 10:52,22/11/2019 13:54
P4DPIII-82,647634,P4DPIII,,software,Done,Bug,07/11/2019 13:03,31/12/2019 12:42
P4DPIII-81,647633,P4DPIII,,software,Done,Bug,07/11/2019 13:02,07/11/2019 13:40
P4DPIII-80,647593,P4DPIII,,software,Done,Bug,07/11/2019 11:16,13/11/2019 13:48
P4DPIII-79,647580,P4DPIII,,software,Done,Task,07/11/2019 10:54,14/11/2019 09:17
P4DPIII-78,647252,P4DPIII,,software,Done,Bug,06/11/2019 10:40,19/11/2019 10:29
P4DPIII-77,647209,P4DPIII,,software,Done,Bug,06/11/2019 07:50,13/11/2019 08:53
P4DPIII-76,647100,P4DPIII,,software,Done,Bug,05/11/2019 13:54,06/11/2019 13:37
P4DPIII-75,646982,P4DPIII,,software,Done,Task,05/11/2019 11:10,29/01/2020 12:00
P4DPIII-74,646801,P4DPIII,,software,Done,Bug,04/11/2019 14:35,06/11/2019 13:37
P4DPIII-73,646589,P4DPIII,,software,Done,Bug,04/11/2019 09:26,06/02/2020 16:26
P4DPIII-72,641845,P4DPIII,,software,Done,Task,08/10/2019 11:16,10/02/2020 11:24
P4DPIII-71,635918,P4DPIII,,software,Done,Bug,03/09/2019 15:59,16/03/2020 14:27
P4DPIII-70,646292,P4DPIII,,software,Done,Bug,31/10/2019 08:28,07/11/2019 14:59
P4DPIII-69,646025,P4DPIII,,software,Done,Bug,30/10/2019 08:19,08/11/2019 12:15
P4DPIII-68,646024,P4DPIII,,software,Done,Bug,30/10/2019 08:14,13/11/2019 08:49
P4DPIII-67,645731,P4DPIII,,software,To Do,Test,29/10/2019 08:11,
P4DPIII-66,645730,P4DPIII,,software,To Do,Test,29/10/2019 08:10,
P4DPIII-65,644923,P4DPIII,,software,Done,Bug,24/10/2019 12:34,10/03/2020 14:38
P4DPIII-64,644906,P4DPIII,,software,To Do,Bug,24/10/2019 11:45,
P4DPIII-63,644530,P4DPIII,,software,To Do,Task,22/10/2019 18:01,
P4DPIII-62,644529,P4DPIII,,software,To Do,Epic,22/10/2019 17:48,
P4DPIII-61,644246,P4DPIII,,software,To Do,Task,21/10/2019 17:51,
P4DPIII-60,644234,P4DPIII,,software,Done,Task,21/10/2019 16:30,17/02/2020 10:24
P4DPIII-58,644012,P4DPIII,,software,To Do,Test,21/10/2019 09:10,
P4DPIII-57,644006,P4DPIII,,software,To Do,Test,21/10/2019 08:38,
P4DPIII-56,643663,P4DPIII,,software,To Do,Task,17/10/2019 15:25,
P4DPIII-55,643606,P4DPIII,,software,Done,Task,17/10/2019 11:56,19/05/2020 12:10
P4DPIII-54,643601,P4DPIII,,software,Done,Task,17/10/2019 11:46,26/02/2020 11:53
P4DPIII-53,642839,P4DPIII,,software,To Do,Test,14/10/2019 08:31,
P4DPIII-52,642584,P4DPIII,,software,Done,Task,10/10/2019 15:04,08/11/2019 10:33
P4DPIII-51,642570,P4DPIII,,software,Done,Task,10/10/2019 14:32,08/11/2019 10:44
P4DPIII-50,642487,P4DPIII,,software,Done,Bug,10/10/2019 12:44,11/10/2019 14:18
P4DPIII-47,642143,P4DPIII,,software,Done,Task,09/10/2019 12:37,10/12/2019 14:46
P4DPIII-45,642004,P4DPIII,,software,Done,Task,08/10/2019 17:30,02/12/2019 11:40
P4DPIII-44,641999,P4DPIII,,software,Done,Task,08/10/2019 17:14,25/11/2019 13:17
P4DPIII-43,641998,P4DPIII,,software,Done,Task,08/10/2019 17:13,02/12/2019 11:37
P4DPIII-42,641987,P4DPIII,,software,Done,Task,08/10/2019 17:00,09/12/2019 13:34
P4DPIII-41,641986,P4DPIII,,software,Done,Task,08/10/2019 16:59,25/11/2019 13:17
P4DPIII-40,641985,P4DPIII,,software,Done,Task,08/10/2019 16:59,02/12/2019 11:35
P4DPIII-39,639145,P4DPIII,,software,Done,Task,23/09/2019 11:39,17/12/2019 14:43
P4DPIII-38,639689,P4DPIII,,software,Done,Task,25/09/2019 13:13,16/12/2019 13:03
P4DPIII-37,593652,P4DPIII,,software,Done,Task,05/03/2019 15:27,19/05/2020 12:09
P4DPIII-36,624270,P4DPIII,,software,Done,Task,03/07/2019 08:39,19/05/2020 12:11
P4DPIII-35,641079,P4DPIII,,software,Done,Task,02/10/2019 16:57,22/10/2019 07:46
P4DPIII-34,641072,P4DPIII,,software,Done,Task,02/10/2019 16:28,17/03/2020 12:14
P4DPIII-33,641067,P4DPIII,,software,Done,Task,02/10/2019 16:26,18/12/2019 10:20
