Issue key,Issue id,Project key,Column1,Project type,Status,Issue Type,Created,Resolved
NEDGEX-337,701619,NEDGEX,,software,To Do,Sub-task,11/01/2021 11:09,
NEDGEX-336,701618,NEDGEX,,software,Done,Sub-task,11/01/2021 11:09,15/01/2021 14:27
NEDGEX-335,701616,NEDGEX,,software,Done,Sub-task,11/01/2021 11:07,13/01/2021 08:10
NEDGEX-334,701606,NEDGEX,,software,To Do,Sub-task,11/01/2021 09:58,
NEDGEX-333,701605,NEDGEX,,software,Done,Sub-task,11/01/2021 09:56,11/01/2021 11:00
NEDGEX-332,701543,NEDGEX,,software,To Do,Sub-task,08/01/2021 17:05,
NEDGEX-331,701534,NEDGEX,,software,To Do,Sub-task,08/01/2021 15:20,
NEDGEX-330,701533,NEDGEX,,software,Done,Sub-task,08/01/2021 15:19,08/01/2021 16:58
NEDGEX-329,701462,NEDGEX,,software,Ready for Refinement,Bug,08/01/2021 10:59,
NEDGEX-328,701291,NEDGEX,,software,Ready for Refinement,Bug,07/01/2021 10:28,
NEDGEX-327,701275,NEDGEX,,software,Ready for Refinement,Task,07/01/2021 08:59,
NEDGEX-326,701273,NEDGEX,,software,To Do,Task,07/01/2021 08:44,
NEDGEX-325,701272,NEDGEX,,software,Ready for Refinement,Task,07/01/2021 08:30,
NEDGEX-324,700489,NEDGEX,,software,Ready for Refinement,Bug,21/12/2020 12:38,
NEDGEX-323,700487,NEDGEX,,software,Ready for Refinement,Bug,21/12/2020 12:27,
NEDGEX-322,699945,NEDGEX,,software,Ready for Testing,Bug,14/12/2020 17:06,
NEDGEX-321,699942,NEDGEX,,software,Ready for Refinement,Bug,14/12/2020 16:42,
NEDGEX-320,699818,NEDGEX,,software,Ready for Development,Bug,14/12/2020 10:38,
NEDGEX-319,699699,NEDGEX,,software,Ready for Testing,Task,11/12/2020 15:33,
NEDGEX-318,698465,NEDGEX,,software,Ready for Development,Task,02/12/2020 15:08,
NEDGEX-317,698448,NEDGEX,,software,Closed,Sub-task,02/12/2020 13:46,
NEDGEX-316,697600,NEDGEX,,software,Ready for Refinement,Bug,24/11/2020 15:19,
NEDGEX-315,696482,NEDGEX,,software,Blocked,Bug,13/11/2020 09:44,
NEDGEX-314,691232,NEDGEX,,software,To Do,Task,02/10/2020 14:56,
NEDGEX-313,691230,NEDGEX,,software,To Do,Task,02/10/2020 14:50,
NEDGEX-312,691229,NEDGEX,,software,To Do,Task,02/10/2020 14:48,
NEDGEX-311,691223,NEDGEX,,software,To Do,Task,02/10/2020 14:40,
NEDGEX-310,691120,NEDGEX,,software,Closed,Bug,01/10/2020 17:04,02/10/2020 14:35
NEDGEX-309,691078,NEDGEX,,software,Closed,Bug,01/10/2020 13:05,01/10/2020 13:19
NEDGEX-308,691074,NEDGEX,,software,Closed,Bug,01/10/2020 12:53,01/10/2020 13:16
NEDGEX-307,691058,NEDGEX,,software,To Do,Task,01/10/2020 11:37,
NEDGEX-306,691056,NEDGEX,,software,To Do,Task,01/10/2020 11:31,
NEDGEX-305,691010,NEDGEX,,software,To Do,Bug,30/09/2020 17:05,
NEDGEX-304,690887,NEDGEX,,software,Closed,Bug,30/09/2020 10:07,01/10/2020 16:59
NEDGEX-303,690863,NEDGEX,,software,Closed,Bug,30/09/2020 08:09,30/09/2020 12:49
NEDGEX-302,690794,NEDGEX,,software,To Do,Bug,29/09/2020 12:32,
NEDGEX-301,690789,NEDGEX,,software,Closed,Bug,29/09/2020 12:03,30/09/2020 09:02
NEDGEX-300,690746,NEDGEX,,software,Closed,Sub-task,29/09/2020 09:26,
NEDGEX-299,690710,NEDGEX,,software,Closed,Bug,28/09/2020 15:22,29/09/2020 14:16
NEDGEX-298,690708,NEDGEX,,software,To Do,Improvement,28/09/2020 15:10,
NEDGEX-297,690673,NEDGEX,,software,To Do,Bug,28/09/2020 11:59,
NEDGEX-296,690406,NEDGEX,,software,Closed,Sub-task,24/09/2020 14:05,
NEDGEX-295,690124,NEDGEX,,software,Closed,Sub-task,23/09/2020 08:25,
NEDGEX-294,690122,NEDGEX,,software,Closed,Sub-task,23/09/2020 08:24,
NEDGEX-293,690037,NEDGEX,,software,Closed,Bug,22/09/2020 14:11,29/09/2020 14:15
NEDGEX-292,690014,NEDGEX,,software,Closed,Bug,22/09/2020 13:29,22/09/2020 14:24
NEDGEX-291,689960,NEDGEX,,software,Closed,Bug,22/09/2020 10:28,29/09/2020 14:15
NEDGEX-290,689905,NEDGEX,,software,Closed,Sub-task,21/09/2020 17:44,
NEDGEX-289,689904,NEDGEX,,software,Closed,Sub-task,21/09/2020 17:44,
NEDGEX-288,689903,NEDGEX,,software,Closed,Sub-task,21/09/2020 17:42,
NEDGEX-287,689902,NEDGEX,,software,Closed,Sub-task,21/09/2020 17:41,
NEDGEX-286,689896,NEDGEX,,software,Closed,Bug,21/09/2020 16:45,30/09/2020 09:02
NEDGEX-285,689816,NEDGEX,,software,Closed,Sub-bug,21/09/2020 11:29,22/09/2020 14:23
NEDGEX-284,689802,NEDGEX,,software,Closed,Sub-task,21/09/2020 11:13,
NEDGEX-283,689705,NEDGEX,,software,Closed,Sub-task,18/09/2020 16:21,
NEDGEX-282,689704,NEDGEX,,software,Closed,Sub-task,18/09/2020 16:13,
NEDGEX-281,689613,NEDGEX,,software,Closed,Sub-task,18/09/2020 10:20,
NEDGEX-280,689556,NEDGEX,,software,Closed,Sub-task,17/09/2020 14:28,
NEDGEX-279,689244,NEDGEX,,software,Closed,Sub-task,16/09/2020 15:45,22/09/2020 14:23
NEDGEX-278,689224,NEDGEX,,software,Done,Task,16/09/2020 14:03,01/10/2020 15:46
NEDGEX-277,689157,NEDGEX,,software,Closed,Sub-bug,16/09/2020 08:30,
NEDGEX-276,689155,NEDGEX,,software,Closed,Sub-bug,16/09/2020 08:25,
NEDGEX-275,689154,NEDGEX,,software,Closed,Sub-bug,16/09/2020 08:18,
NEDGEX-274,689143,NEDGEX,,software,Done,Task,15/09/2020 16:28,02/10/2020 14:58
NEDGEX-273,689142,NEDGEX,,software,Done,Task,15/09/2020 16:27,03/10/2020 17:33
NEDGEX-272,689141,NEDGEX,,software,Done,Task,15/09/2020 16:26,01/10/2020 12:51
NEDGEX-271,689138,NEDGEX,,software,Closed,Task,15/09/2020 16:16,
NEDGEX-270,689136,NEDGEX,,software,Done,Task,15/09/2020 16:09,29/09/2020 11:26
NEDGEX-269,689135,NEDGEX,,software,Done,Task,15/09/2020 16:08,01/10/2020 15:06
NEDGEX-268,689134,NEDGEX,,software,Done,Task,15/09/2020 16:06,02/10/2020 13:56
NEDGEX-267,689102,NEDGEX,,software,Closed,Sub-bug,15/09/2020 13:28,
NEDGEX-266,689082,NEDGEX,,software,Closed,Bug,15/09/2020 12:30,16/09/2020 13:17
NEDGEX-265,689044,NEDGEX,,software,To Do,Task,15/09/2020 10:37,
NEDGEX-264,688955,NEDGEX,,software,Closed,Sub-bug,14/09/2020 14:29,
NEDGEX-263,688929,NEDGEX,,software,Closed,Sub-task,14/09/2020 13:03,
NEDGEX-262,688817,NEDGEX,,software,Closed,Sub-task,11/09/2020 13:12,
NEDGEX-261,688737,NEDGEX,,software,Closed,Sub-bug,10/09/2020 14:47,
NEDGEX-260,688732,NEDGEX,,software,Closed,Sub-bug,10/09/2020 14:42,
NEDGEX-259,688542,NEDGEX,,software,Closed,Sub-bug,09/09/2020 09:44,
NEDGEX-258,688541,NEDGEX,,software,Closed,Sub-task,09/09/2020 09:44,
NEDGEX-257,688540,NEDGEX,,software,Closed,User Story,09/09/2020 09:44,15/09/2020 16:01
NEDGEX-256,688408,NEDGEX,,software,Closed,Sub-task,08/09/2020 09:25,
NEDGEX-255,688407,NEDGEX,,software,Closed,Bug,08/09/2020 09:08,11/09/2020 11:07
NEDGEX-254,688403,NEDGEX,,software,Closed,Bug,08/09/2020 08:43,22/09/2020 14:24
NEDGEX-253,688108,NEDGEX,,software,Closed,Task,04/09/2020 09:28,30/09/2020 09:03
NEDGEX-252,688056,NEDGEX,,software,Closed,Sub-task,03/09/2020 16:31,
NEDGEX-251,688055,NEDGEX,,software,Closed,Sub-task,03/09/2020 16:30,
NEDGEX-250,688053,NEDGEX,,software,Ready for Development,Task,03/09/2020 16:23,
NEDGEX-249,687966,NEDGEX,,software,Closed,Sub-task,03/09/2020 11:55,
NEDGEX-248,687965,NEDGEX,,software,Closed,Sub-task,03/09/2020 11:54,
NEDGEX-247,687963,NEDGEX,,software,Closed,Sub-task,03/09/2020 11:53,
NEDGEX-246,687923,NEDGEX,,software,Closed,Sub-task,03/09/2020 10:02,
NEDGEX-245,687911,NEDGEX,,software,Closed,Sub-task,03/09/2020 09:30,
NEDGEX-244,687910,NEDGEX,,software,Closed,Sub-task,03/09/2020 09:29,
NEDGEX-243,687902,NEDGEX,,software,To Do,Bug,03/09/2020 09:04,
NEDGEX-242,687773,NEDGEX,,software,Closed,Sub-bug,02/09/2020 10:06,
NEDGEX-241,687730,NEDGEX,,software,Closed,Sub-bug,01/09/2020 17:46,
NEDGEX-240,687467,NEDGEX,,software,Closed,Sub-task,01/09/2020 08:58,
NEDGEX-239,687466,NEDGEX,,software,Closed,Sub-task,01/09/2020 08:57,
NEDGEX-238,687390,NEDGEX,,software,Closed,Sub-task,31/08/2020 12:23,01/09/2020 14:49
NEDGEX-237,687389,NEDGEX,,software,Closed,Sub-task,31/08/2020 12:21,31/08/2020 13:47
NEDGEX-236,687388,NEDGEX,,software,Closed,Bug,31/08/2020 12:20,
NEDGEX-235,687274,NEDGEX,,software,Closed,Sub-task,28/08/2020 13:10,
NEDGEX-234,686734,NEDGEX,,software,Closed,Sub-task,24/08/2020 12:40,31/08/2020 14:27
NEDGEX-233,686528,NEDGEX,,software,Closed,Bug,20/08/2020 17:33,
NEDGEX-232,686471,NEDGEX,,software,Ready for Refinement,User Story,20/08/2020 09:48,
NEDGEX-231,686469,NEDGEX,,software,To Do,Task,20/08/2020 09:38,
NEDGEX-230,686422,NEDGEX,,software,Closed,Task,19/08/2020 14:08,31/08/2020 13:10
NEDGEX-229,686359,NEDGEX,,software,Closed,Sub-bug,19/08/2020 08:26,
NEDGEX-228,686358,NEDGEX,,software,Closed,Sub-bug,19/08/2020 08:12,19/08/2020 08:17
NEDGEX-227,686357,NEDGEX,,software,Closed,Sub-bug,19/08/2020 08:02,19/08/2020 08:11
NEDGEX-226,686317,NEDGEX,,software,Closed,Sub-bug,18/08/2020 14:19,
NEDGEX-225,686250,NEDGEX,,software,Closed,Sub-bug,17/08/2020 18:07,
NEDGEX-224,686196,NEDGEX,,software,Closed,Task,17/08/2020 09:53,02/09/2020 12:20
NEDGEX-223,685668,NEDGEX,,software,Closed,Sub-task,11/08/2020 09:42,11/08/2020 11:08
NEDGEX-222,685661,NEDGEX,,software,Closed,Sub-task,11/08/2020 09:14,
NEDGEX-221,685659,NEDGEX,,software,Closed,Task,11/08/2020 09:12,31/08/2020 14:27
NEDGEX-220,685548,NEDGEX,,software,Closed,Sub-task,10/08/2020 09:27,
NEDGEX-219,685546,NEDGEX,,software,Closed,Sub-task,10/08/2020 09:27,
NEDGEX-218,685473,NEDGEX,,software,Closed,Sub-task,07/08/2020 13:38,13/08/2020 09:27
